instance	flowtime	bks	gap ((flowtime - bks) / bks)
ta001	14033	14033	0.0
ta002	15151	15151	0.0
ta003	13301	13301	0.0
ta004	15502	15447	0.003560561921408688
ta005	13529	13529	0.0
ta006	13123	13123	0.0
ta007	13557	13548	0.0006643046944198405
ta008	13953	13948	0.0003584743332377402
ta009	14295	14295	0.0
ta010	12976	12943	0.0025496407324422468
ta011	20958	20911	0.002247620869398881
ta012	22440	22440	0.0
ta013	19833	19833	0.0
ta014	18763	18710	0.0028327097808658473
ta015	18652	18541	0.005986732107221833
ta016	19245	19245	0.0
ta017	18376	18363	0.0007079453248379895
ta018	20241	20241	0.0
ta019	20347	20330	0.0008362026561731431
ta020	21332	21320	0.0005628517823639775
ta021	33823	33623	0.005948309193111858
ta022	31604	31587	0.0005381960933295343
ta023	33920	33920	0.0
ta024	31698	31611	0.0027522065103919523
ta025	34586	34557	0.0008391932170037908
ta026	32600	32564	0.0011055152929615526
ta027	33022	32922	0.003037482534475427
ta028	32412	32412	0.0
ta029	33782	33600	0.005416666666666667
ta030	32262	32262	0.0
ta031	65282	64802	0.007407178790778062
ta032	68872	68051	0.012064481050976473
ta033	64540	63162	0.021816915233843135
ta034	69521	68226	0.018981033623545276
ta035	70183	69351	0.011996943086617352
ta036	67415	66841	0.008587543573555153
ta037	66831	66253	0.008724133246796372
ta038	65205	64332	0.013570229434806938
ta039	63794	62981	0.012908654991187818
ta040	69706	68770	0.013610586011342156
ta041	89332	87114	0.025460890327616687
ta042	84311	82820	0.018002897850760684
ta043	82131	79931	0.027523739225081632
ta044	87801	86446	0.015674525137079797
ta045	88446	86377	0.023953135672690647
ta046	88939	86587	0.027163431000034648
ta047	90330	88750	0.01780281690140845
ta048	88359	86727	0.01881766923795358
ta049	87568	85441	0.024894371554640044
ta050	89663	87998	0.018920884565558307
ta051	127745	125831	0.015210878082507491
ta052	120970	119247	0.014449000813437654
ta053	119650	116459	0.02740020092908234
ta054	124193	120261	0.03269555383707104
ta055	120753	118184	0.02173729100385839
ta056	124157	120586	0.02961371966894996
ta057	126504	122880	0.0294921875
ta058	126110	122489	0.029561838205879713
ta059	124380	121872	0.020578968097676252
ta060	126681	123954	0.022000096810106975
ta061	256782	253266	0.013882637227263036
ta062	245982	242281	0.015275651000284792
ta063	240344	237832	0.010562077432809715
ta064	230662	227738	0.012839315353608093
ta065	243599	240301	0.013724453914049462
ta066	235701	232342	0.014457136462628367
ta067	243261	240366	0.012044132697636104
ta068	234469	230945	0.015259044361211544
ta069	251041	247921	0.012584653982518625
ta070	246590	242933	0.01505353327872294
ta071	307033	298385	0.028982690148633476
ta072	279815	274384	0.01979342818823255
ta073	297027	288114	0.03093567129677836
ta074	308090	301044	0.023405216513200728
ta075	292161	284681	0.026275023622932336
ta076	276370	269686	0.024784378870241687
ta077	289000	279463	0.03412616339193381
ta078	297416	290908	0.022371333892502097
ta079	311772	301970	0.032460178163393714
ta080	300704	291283	0.0323431164880889
ta081	385198	365463	0.053999994527489784
ta082	386054	372449	0.03652849114912377
ta083	384917	370027	0.040240306788423545
ta084	390773	372393	0.04935645943935574
ta085	381441	368915	0.03395362075274792
ta086	388156	370908	0.04650209755518889
ta087	393771	373408	0.05453284343131374
ta088	394614	384525	0.026237565827969572
ta089	392702	374423	0.04881911634701928
ta090	396129	379296	0.044379587446216145
ta091	1067457	1046314	0.020207127114804924
ta092	1051305	1034195	0.01654426873075194
ta093	1078111	1046902	0.029810813237533217
ta094	1049460	1030481	0.018417612745892452
ta095	1063470	1034027	0.028474111411017314
ta096	1024521	1006195	0.018213169415471155
ta097	1070630	1053051	0.016693398515361554
ta098	1054330	1044875	0.00904892929776289
ta099	1039907	1026137	0.013419260780967843
ta100	1044820	1030299	0.014093966896988155
ta101	1269982	1227733	0.03441220525961264
ta102	1287207	1245271	0.033676203814270146
ta103	1303874	1269673	0.02693685697025927
ta104	1283368	1238349	0.03635404881822491
ta105	1264844	1227214	0.030662948760362903
ta106	1269164	1227604	0.03385456547877003
ta107	1292614	1243707	0.03932357058374682
ta108	1288603	1246123	0.03408973271498881
ta109	1268550	1234936	0.027219224316077918
ta110	1291645	1250596	0.03282354973148802
ta111	6766533	6698656	0.010132928157528913
ta112	6907835	6770735	0.020248909461085096
ta113	6863559	6739645	0.01838583486222197
ta114	6911829	6785991	0.018543791172136833
ta115	6849495	6729486	0.017833308517173525
ta116	6790035	6724085	0.009808025924716895
ta117	6799624	6691468	0.016163269405158928
ta118	6850068	6783916	0.0097512999866154
ta119	6786260	6711305	0.011168468725531025
ta120	6852317	6755722	0.014298249691150702
