instance	flowtime	bks	gap ((flowtime - bks) / bks)
ta001	14046	14033	0.0009263878001852776
ta002	15309	15151	0.010428354564055178
ta003	13421	13301	0.009021878054281634
ta004	15582	15447	0.008739561079821325
ta005	13589	13529	0.0044349175844482225
ta006	13186	13123	0.004800731540044197
ta007	13618	13548	0.005166814289932094
ta008	14046	13948	0.007026096931459708
ta009	14381	14295	0.006016089541797831
ta010	13091	12943	0.011434752375801592
ta011	20911	20911	0.0
ta012	22559	22440	0.005303030303030303
ta013	19975	19833	0.0071597841980537485
ta014	18904	18710	0.010368786745056119
ta015	18777	18541	0.012728547543282455
ta016	19357	19245	0.00581969342686412
ta017	18581	18363	0.011871698524206284
ta018	20241	20241	0.0
ta019	20471	20330	0.006935563207083128
ta020	21358	21320	0.0017823639774859287
ta021	33812	33623	0.005621152187490706
ta022	31743	31587	0.004938740621141609
ta023	34042	33920	0.0035966981132075472
ta024	31795	31611	0.005820758596691025
ta025	34605	34557	0.0013890094626269642
ta026	32624	32564	0.0018425254882692545
ta027	33281	32922	0.010904562298766782
ta028	32467	32412	0.0016969023818338886
ta029	33753	33600	0.0045535714285714285
ta030	32409	32262	0.004556444113818114
ta031	65282	64802	0.007407178790778062
ta032	68937	68051	0.013019647029433807
ta033	64616	63162	0.023020170355593554
ta034	69371	68226	0.016782458300354703
ta035	70135	69351	0.01130481175469712
ta036	67463	66841	0.009305665684235723
ta037	66767	66253	0.007758139254071514
ta038	65341	64332	0.015684262886277434
ta039	63654	62981	0.010685762372779092
ta040	69358	68770	0.008550239930202123
ta041	90098	87114	0.034253966067451846
ta042	84975	82820	0.0260202849553248
ta043	82231	79931	0.02877481828076716
ta044	88599	86446	0.024905721490872914
ta045	88053	86377	0.01940331338203457
ta046	89756	86587	0.036599027567648726
ta047	90585	88750	0.02067605633802817
ta048	88532	86727	0.020812434420653315
ta049	87885	85441	0.028604534122962044
ta050	89681	87998	0.019125434668969748
ta051	129035	125831	0.025462723812097177
ta052	120932	119247	0.014130334515753016
ta053	120252	116459	0.03256940210717935
ta054	122401	120261	0.017794630013054938
ta055	121387	118184	0.0271018073512489
ta056	122765	120586	0.01807009105534639
