instance	flowtime	bks	gap ((flowtime - bks) / bks)
ta001	14033	14033	0.0
ta002	15211	15151	0.003960134644577916
ta003	13625	13301	0.024359070746560407
ta004	15585	15447	0.008933773548261798
ta005	13611	13529	0.0060610540320792375
ta006	13263	13123	0.010668292311209327
ta007	13636	13548	0.006495423678771774
ta008	14023	13948	0.005377114998566103
ta009	14315	14295	0.0013990905911157748
ta010	12943	12943	0.0
ta011	21068	20911	0.007508010138204773
ta012	22588	22440	0.006595365418894831
ta013	19930	19833	0.00489083850148742
ta014	18828	18710	0.006306787814003207
ta015	18815	18541	0.014778059435844884
ta016	19350	19245	0.005455962587685113
ta017	18419	18363	0.003049610630071339
ta018	20334	20241	0.00459463465243812
ta019	20445	20330	0.005656665027053615
ta020	21349	21320	0.0013602251407129457
ta021	33971	33623	0.010350057996014633
ta022	32042	31587	0.01440466014499636
ta023	34047	33920	0.0037441037735849057
ta024	31793	31611	0.0057574894815096015
ta025	34671	34557	0.00329889747373904
ta026	32610	32564	0.0014126028743397616
ta027	33296	32922	0.011360184678938096
ta028	32412	32412	0.0
ta029	33623	33600	0.0006845238095238096
ta030	32718	32262	0.014134275618374558
ta031	65577	64802	0.011959507422610413
ta032	69076	68051	0.015062232737211797
ta033	64862	63162	0.02691491719704886
ta034	69548	68226	0.019376777181719578
ta035	70756	69351	0.02025926086141512
ta036	68077	66841	0.018491644350024684
ta037	66836	66253	0.008799601527478001
ta038	65468	64332	0.01765839706522415
ta039	64022	62981	0.016528794398310603
ta040	70105	68770	0.01941253453540788
ta041	89913	87114	0.03213031200495902
ta042	85466	82820	0.03194880463656122
ta043	82231	79931	0.02877481828076716
ta044	88295	86446	0.02138907526085649
ta045	88566	86377	0.025342394387394794
ta046	90050	86587	0.03999445644265305
ta047	90707	88750	0.022050704225352113
ta048	89531	86727	0.03233133856815063
ta049	87819	85441	0.027832071253847686
ta050	90898	87998	0.03295529443850997
ta051	130658	125831	0.03836097623002281
ta052	121999	119247	0.023078148716529558
ta053	120509	116459	0.03477618732772907
ta054	124645	120261	0.03645404578375367
ta055	125250	118184	0.05978812698842483
ta056	124112	120586	0.029240542019803292
ta057	127547	122880	0.037980143229166666
ta058	127559	122489	0.04139147188727151
ta059	125548	121872	0.030162793750820534
ta060	128795	123954	0.03905481065556578
ta061	257538	253266	0.016867641136196727
ta062	246628	242281	0.01794197646534396
ta063	240473	237832	0.011104477109892697
ta064	231397	227738	0.01606670823490151
ta065	244369	240301	0.016928768502836027
ta066	236181	232342	0.016523056528737808
ta067	244428	240366	0.01689922867626869
ta068	234844	230945	0.016882807594881897
ta069	251954	247921	0.016267278689582568
ta070	248600	242933	0.02332741949426385
ta071	308727	298385	0.03465991923186487
ta072	282647	274384	0.03011472972184967
ta073	299142	288114	0.038276515545929736
ta074	310345	301044	0.030895815894022138
ta075	293168	284681	0.029812316241688064
ta076	277367	269686	0.028481270811239738
ta077	291881	279463	0.04443522040484787
ta078	299376	290908	0.029108859158221843
ta079	314881	301970	0.04275590290426201
ta080	304988	291283	0.047050462951837214
ta081	385400	365463	0.054552718059010075
ta082	390839	372449	0.04937588770543081
ta083	390319	370027	0.05483924146075827
ta084	394175	372393	0.05849196950533442
ta085	386201	368915	0.04685632191697275
ta086	393788	370908	0.06168645594055669
ta087	398896	373408	0.06825777701602537
ta088	403674	384525	0.049799102789155454
ta089	399247	374423	0.0662993459269329
ta090	401175	379296	0.0576831814730448
ta091	1072771	1046314	0.02528590843666433
ta092	1054338	1034195	0.01947698451452579
ta093	1080295	1046902	0.031896968388636184
ta094	1058048	1030481	0.02675158493946031
ta095	1068146	1034027	0.03299623704216621
ta096	1028138	1006195	0.02180790005913367
ta097	1072522	1053051	0.01849008262657744
ta098	1056050	1044875	0.010695059217609762
ta099	1043018	1026137	0.016451019698149466
ta100	1050987	1030299	0.020079607958466427
ta101	1278053	1227733	0.04098611017216284
ta102	1303025	1245271	0.04637865974554936
ta103	1314253	1269673	0.03511140269975025
ta104	1287620	1238349	0.039787652753787504
ta105	1269896	1227214	0.03477959019372334
ta106	1276029	1227604	0.03944675970426945
ta107	1302145	1243707	0.046986951106651326
ta108	1295155	1246123	0.039347640642215895
ta109	1272356	1234936	0.030301165404522986
ta110	1294675	1250596	0.035246394519093296
ta111	6770710	6698656	0.010756486077207129
ta112	6917121	6770735	0.021620400148580618
ta113	6869926	6739645	0.019330543374317194
ta114	6907545	6785991	0.017912490600120158
ta115	6861538	6729486	0.01962289541875858
ta116	6792927	6724085	0.010238121618034276
ta117	6804163	6691468	0.0168415958949516
ta118	6852778	6783916	0.0101507742725588
ta119	6789282	6711305	0.011618753729714265
ta120	6860331	6755722	0.015484503358782377
